,precision,recall,f1-score,support
0,0.9978070175438597,0.9912854030501089,0.994535519125683,459.0
1,0.9863481228668942,0.996551724137931,0.9914236706689536,290.0
accuracy,0.9933244325767691,0.9933244325767691,0.9933244325767691,0.9933244325767691
macro avg,0.992077570205377,0.99391856359402,0.9929795948973184,749.0
weighted avg,0.9933703293511761,0.9933244325767691,0.9933306645830241,749.0
